LotNo,Qty Unique Chip-id Bin1,Qty Redundant Chip-id,Qty Camstar at Bake-in,Result,Qty Camstar-Unique Chip-Id,Tested Date,Test Sequence
5I315178501,4035,4031,4023,OK,-12,['2023-05-31 20:36:35'],['NR']
5I315357501,9764,9719,9762,OK,-2,['2023-05-31 09:39:11'],['NR']
5I315357501,9764,9719,9720,OK,-44,['2023-05-31 09:39:11'],['NR']
VC307335B01,26563,2,26547,OK,-16,['2023-04-11 16:42:46'],['NCCCRR']
ZA228170931,4578,154,4724,FAIL,146,['2023-04-17 09:47:14'],['NCC']
VC31008393P,28563,57,28602,FAIL,39,['2023-04-27 17:09:53'],['NCCCCRR']
VC310082948,30036,0,30036,OK,0,['2023-04-27 23:49:37'],['NCR']
VC31008393D,28457,0,28429,OK,-28,['2023-04-28 11:09:46'],['NR']
VC310082B05,26636,0,26613,OK,-23,['2023-04-28 15:23:44'],['NCRR']
VC310083931,28238,0,28238,OK,0,['2023-04-29 01:06:09'],['NR']
VC31008395L,28537,0,28537,OK,0,['2023-04-29 05:58:03'],['NR']
VC31008294J,28410,0,28397,OK,-13,['2023-04-29 11:00:24'],['NR']
VC31008395X,28413,2,28408,OK,-5,['2023-04-29 22:17:31'],['NR']
VC31008394H,26574,1389,26697,FAIL,123,['2023-05-09 11:26:04'],['NCR']
VC31008394R,30411,1,30410,OK,-1,['2023-04-30 07:43:49'],['NCR']
VC31008395R,28487,17,28487,OK,0,['2023-04-30 10:15:48'],['NR']
VC31008393V,28725,0,28713,OK,-12,['2023-05-01 01:23:57'],['NR']
VC310083B01,26672,0,26649,OK,-23,['2023-05-01 02:22:29'],['NCR']
VC310083953,28605,12,28598,OK,-7,['2023-05-01 13:47:34'],['NCRR']
VC31008393J,28611,1,28607,OK,-4,['2023-05-01 14:25:03'],['NR']
ZA228170933,4886,29,4915,FAIL,29,['2023-05-01 15:15:50'],['NCR']
ZA228170932,4906,12,4900,OK,-6,['2023-05-01 20:37:06'],['NCR']
VC310083B02,26676,0,26675,OK,-1,['2023-05-01 23:07:03'],['NR']
VC31008395F,28515,0,28513,OK,-2,['2023-05-02 01:30:58'],['NRR']
VC310083EA4,28464,0,28446,OK,-18,['2023-05-02 13:22:54'],['NCR']
VC307335931,28241,0,28240,OK,-1,['2023-05-03 04:41:52'],['NR']
VC31135893I,12264,0,12264,OK,0,['2023-05-03 16:27:13'],['NR']
VC30458493S,5126,0,5126,OK,0,['2023-05-03 22:28:40'],['N']
VC310083EB9,30650,0,30635,OK,-15,['2023-05-05 01:48:44'],['NR']
VC310083EAW,28598,0,28597,OK,-1,['2023-05-05 11:17:58'],['NR']
VC310083B16,26762,0,26762,OK,0,['2023-05-05 20:37:52'],['NR']
VC310083959,28497,7,28482,OK,-15,['2023-05-06 05:55:51'],['NR']
VC310083EAL,30538,0,30534,OK,-4,['2023-05-06 19:35:45'],['NR']
VC310083B19,26644,0,26642,OK,-2,['2023-05-07 04:19:07'],['NR']
VC310083EB3,28700,0,28700,OK,0,['2023-05-07 12:17:54'],['NR']
VC310083EBT,26488,1,26471,OK,-17,['2023-05-10 00:15:50'],['NRR']
VC310083EFV,28590,0,28574,OK,-16,['2023-05-10 10:46:55'],['NR']
VC310083EFL,28604,0,28599,OK,-5,['2023-05-10 23:44:34'],['NRR']
VC310083EBY,28488,0,28484,OK,-4,['2023-05-11 10:53:28'],['NCR']
VC310083EFA,30520,17,30518,OK,-2,['2023-05-11 23:58:45'],['NCR']
VC310083B29,26692,0,26685,OK,-7,['2023-05-12 14:31:38'],['NRR']
VC310083EBN,28363,100,28463,FAIL,100,['2023-05-12 22:03:57'],['NCCCCCRR']
VC310083B30,26569,23,26576,FAIL,7,['2023-05-12 22:24:44'],['NCCR']
VC310083EF5,26718,0,26706,OK,-12,['2023-05-13 08:48:41'],['NR']
VC310083EAA,30284,0,30266,OK,-18,['2023-05-13 19:32:31'],['NRR']
VC31008293V,28453,0,28424,OK,-29,['2023-05-13 20:42:12'],['NRR']
VC310083B36,26613,6,26601,OK,-12,['2023-05-14 07:03:02'],['NR']
VC31008394D,22121,92,22134,FAIL,13,['2023-05-14 17:24:40'],['NCCCR']
VC31264293A,30422,57,30470,FAIL,48,['2023-05-15 02:57:45'],['NCR']
VC312642B01,26360,191,26551,FAIL,191,['2023-05-15 18:04:53'],['NCCCCCCCR']
ZA228170936,19622,39,19620,OK,-2,['2023-05-16 12:46:46'],['NCCCCR']
VC310083937,28445,40,28485,FAIL,40,['2023-05-16 15:36:17'],['NCCCCR']
VC312642948,30497,4,30496,OK,-1,['2023-05-17 18:12:09'],['NCRR']
ZA228170934,4829,17,4834,FAIL,5,['2023-05-17 22:00:41'],['NR']
ZA22817093C,9830,12,9825,OK,-5,['2023-05-19 07:22:32'],['NR']
VC31264293L,30415,0,30415,OK,0,['2023-05-19 11:11:45'],['NRR']
ZA228170935,4917,4,4916,OK,-1,['2023-05-19 17:28:24'],['NR']
ZA22817093B,4859,5,4853,OK,-6,['2023-05-19 21:24:12'],['NR']
ZA22817093G,4786,28,4795,FAIL,9,['2023-05-20 03:13:19'],['NCR']
VC312642B03,26514,34,26880,FAIL,366,['2023-09-11 12:31:01'],['NCR']
ZA22817093A,4872,29,4901,FAIL,29,['2023-05-20 12:53:44'],['NRR']
VC312642B04,26545,35,26538,OK,-7,['2023-05-20 20:14:45'],['NR']
ZA22817093E,9691,108,9771,FAIL,80,['2023-05-20 21:24:26'],['NCRR']
VC307335937,30117,12,30119,FAIL,2,['2023-05-21 08:27:40'],['NRR']
VC312642956,30316,88,30384,FAIL,68,['2023-05-22 00:50:00'],['NRR']
VC31264295S,28487,36,28444,OK,-43,['2023-05-22 05:31:08'],['NCRR']
VC312642B06,26700,3,26645,OK,-55,['2023-05-22 16:47:33'],['NR']
VC312642B09,33168,36,33200,FAIL,32,['2023-05-22 20:15:20'],['NCRR']
VC31264295H,23817,25,23785,OK,-32,['2023-05-23 03:14:33'],['NR']
VC31264294U,30473,67,30522,FAIL,49,['2023-05-23 12:22:22'],['NR']
VC30733594Q,28323,71,28323,OK,0,['2023-05-23 15:32:09'],['NR']
VC31264293W,30591,2,30848,FAIL,257,['2023-09-12 02:31:03'],['NCR']
VC312642B10,26532,45,26524,OK,-8,['2023-05-24 08:49:11'],['NR']
VC312642B12,26567,95,26880,FAIL,313,['2023-05-24 12:15:12'],['NCR']
VC307335B05,26613,0,26584,OK,-29,['2023-05-24 19:54:24'],['NR']
